Literal Lemma;IWN ID;MariTerm ID;IWN sense;MariT sense;Gloss S. (WM);Total S.;T. Relation S.;Malus;Bonus;MariTerm Gloss
nave militare;N#49583;N#20;1;1;0.02;17.34;13.04;-1.65;5.94;nave impiegata per scopi militari eo di guerra
imbarcazione;N#5211;N#58;1;1;0.18;12.69;11.85;-5.61;6.27;"termine generico per indicare barche di piccole e medie dimensioni  utilizzate per diversi scopi lavoro  piacere  etc
"
oggetto;N#4716;N#645;1;1;0.50;9.68;6.54;-0.66;3.30;qualunque oggetto concreto
scrittura;N#3291;N#251;4;4;1.00;7.64;5.32;-0.99;2.31;uno scritto che documenta qualcosa e che dà informazioni
bussola;N#20642;N#106;1;1;1.00;6.51;3.86;0.00;1.65;strumento che indica la direzione del punto cardinale nord e permette pertanto di conoscere la direzione di uno spostamento  rispetto a tale punto cardinale
navigazione;N#49711;N#45;3;2;1.00;6.12;3.80;-0.33;1.65;tecnica e pratica che consentono di mantanere una rotta
porto;N#17185;N#90;1;1;1.00;5.83;4.83;-2.31;2.31;luogo di scalo di navi
attività;N#16077;N#2136;1;1;1.00;5.79;3.80;-0.66;1.65;atto compiuto per uno scopo
inerente;AG#43026;AG#127;1;1;-0.03;5.75;3.79;-0.33;2.31;
unità_di_misura;N#19583;N#1177;1;1;1.00;5.51;3.85;-1.32;1.98;grandezza di paragone il cui valore viene messo uguale a uno e rispetto alla quale vengono misurate le altre grandezze con essa omogenee
cardine;N#14352;N#994;3;3;1.00;5.51;4.18;-1.32;1.65;punto cardinale
duello;N#3622;N#2096;2;2;1.00;5.27;3.61;-0.33;0.99;atto  sforzo di due o più concorrenti per vincersi  superarsi a vicenda
lavoratore;N#21747;N#482;1;1;0.36;5.25;4.56;-1.32;1.65;chi lavora nel campo della navigazione e dei trasporti navali
galleggiante;N#1223;N#379;1;1;-0.10;5.21;3.99;-0.99;2.31;qualsiasi corpo che galleggia sia fissato al fondo come boe o gavitelli  sia mobile come vari tipi d imbarcazione
cargo;N#49611;N#16;1;1;1.00;5.02;4.68;-2.97;2.31;nave adibita al trasporto di merci
attività_sportiva;N#10509;N#1901;1;1;1.00;4.73;2.41;0.00;1.32;gioco o esercizio praticato per diletto o per esibizione
mezzo;N#1554;N#2073;2;2;1.00;4.70;2.71;-0.99;1.98;qualunque mezzo di trasporto
prodotto;N#27277;N#644;1;1;1.00;4.68;2.69;-0.33;1.32;tutto ciò che gli uomini producono
organismo;N#11820;N#2023;3;1;1.00;4.33;2.34;0.00;0.99;organo  istituzione  organo  ente
roba;N#1846;N#264;2;2;1.00;3.84;3.83;-2.97;1.98;qualunque bene mobile  economicamente utile  destinato alla vendita
posizione;N#3017;N#510;2;1;1.00;3.81;2.15;-0.33;0.99;posizione all interno della gerarchia sociale  posizione all interno di una gerarchia
fenomeno_atmosferico;N#14356;N#1009;1;1;-0.10;3.75;4.18;-2.97;2.64;fenomeno fisico che concerne l atmosfera
pesce;N#26753;N#2032;1;1;1.00;3.56;1.90;0.00;0.66;animale vertebrato acquatico
strumento nautico;N#49618;N#2172;1;1;0.06;3.43;3.04;-0.99;1.32;utile per calcolare la posizione della nave e per tecniche eo operazioni di navigazione
bagaglio;N#9341;N#682;1;1;1.00;3.24;1.58;0.00;0.66;insieme degli oggetti che un viaggiatore reca con sè
