Shared Lemma;MarT_WM_ID;IWN_WM_ID
abbandonare;V#722;V#33779
abbattere;V#1871;V#35390
abbeverare;V#2691;V#34987
abbisciare;V#176;V#38803
abbittare;V#577;V#37023
abboccare;V#2692;V#39006
abbonacciare;V#1818;V#51357
abbordaggio;N#574;N#16285
abbordare;V#338;V#38030
abbrivare;V#1870;V#51187
abbrivio;N#179;N#18378
abbrumare;V#2694;V#39845
abbuono;N#731;N#6212
Abenra;NP#948;NP#47544
Aberdeen;NP#949;NP#46137
abete;N#1819;N#51102
ABS;N#1905;N#50226
accessorio;N#951;N#6329
accone;N#59;N#49603
accostare;V#332;V#33819
accostata;N#575;N#5066
acido;N#2176;AG#41790
acqua;N#75;N#50495
acque;N#119;N#12663
Aden;NP#950;NP#48199
aereo;AG#2613;AG#43954
affiorare;V#1820;V#36051
affondamento;N#2581;N#10461
affondare;V#1867;V#37267
afforcare;V#334;V#37115
Africa;NP#2628;NP#46974
Agadir;NP#1013;NP#46238
agente marittimo;N#233;N#49494
al traverso;AV#1721;N#49636
ala;N#1920;N#11176
alaggio;N#798;N#31046
alare;V#799;AG#43865
albatrosso;N#62;N#49604
alberatura;N#581;N#10066
albero;N#88;N#29490
albero dell'antenna;N#955;N#49701
albero di fortuna;N#954;N#49700
albero di maestra;N#456;N#49265
albero di trasmissione;N#844;N#49698
Alborg;NP#1014;NP#46082
Algeri;NP#1015;NP#45623
Alicante;NP#1016;NP#48451
aliscafo;N#63;N#30608
aliseo;N#840;N#10302
allarme;N#1882;N#14766
allestimento;N#957;N#8506
allineamento;N#845;N#49705
alluminio;N#2012;N#21688
alta marea;N#744;N#49708
altezza;N#1648;N#10856
altocumulo;N#2541;N#28519
altostrato;N#962;N#10670
altura;N#860;N#1342
alzare;V#1845;V#33884
Amalfi;NP#2360;NP#46679
Amburgo;NP#1202;NP#45586
Americhe;NP#2629;NP#46204
Amerigo Vespucci;NP#550;NP#49672
Amerigo_Vespucci;NP#1254;NP#45687
ammainare;V#584;V#37814
ammanco;N#589;N#9457
ammattare;V#1446;V#40513
ammiraglia;N#97;N#5539
amperometro;N#1652;N#21090
Amsterdam;NP#2418;NP#45739
Anchorage;NP#1017;NP#45554
Ancona;NP#2361;NP#48145
ancora;N#73;AV#48758
ancoraggio;N#200;N#2748
andana;N#1858;N#4165
andare;V#2144;V#33637
andare_via;V#2269;V#32344
andatura;N#76;N#49633
andatura al lasco;N#785;N#49635
andatura di bolina;N#791;N#49637
andatura in poppa;N#784;N#49634
anemometro;N#77;N#19010
anemoscopio;N#2549;N#30675
anfibio;N#531;N#49595
angolo;N#622;N#14185
Annaba;NP#1018;NP#48273
annegare;V#2584;V#33244
annodatura;N#389;N#9235
antenna;N#969;N#26044
anticiclone;N#958;N#5234
Anversa;NP#2336;NP#46108
appoggio;N#64;N#49605
appontare;V#329;V#32468
approdare;V#337;V#35499
Aqaba;NP#1019;NP#46659
arare;V#864;V#40554
Arbatax;NP#1020;NP#46153
arcobaleno;N#2552;N#27350
area;N#1998;N#19239
argano;N#865;N#4568
Argo;NP#96;NP#45528
Arhus;NP#1021;NP#46370
aria;N#224;N#28825
armamento;N#78;N#25357
armare;V#704;V#39799
armatore;N#79;N#22789
armo;N#710;N#19709
arrancare;V#2236;V#39460
arruolare;V#813;V#33500
arsenalotto;N#2648;N#21668
Arzew;NP#1022;NP#48455
Asia;NP#2630;NP#45965
Assab;NP#1023;NP#47245
assetto;N#777;N#6927
assicurare;V#1829;V#33240
assicurazione;N#235;N#21061
associazione;N#2650;N#5333
Astoria;NP#1024;NP#47828
astrolabio;N#2150;N#51134
Atlantico;NP#2015;NP#46183
atollo;N#2665;N#17317
attività;N#2136;N#16078
attività_sportiva;N#1901;N#10509
atto;N#424;N#20874
attraccare;V#227;V#39963
attrezzare;V#925;V#39798
Augusta;NP#2362;NP#48530
Australia;NP#2631;NP#48603
austro;N#998;N#6068
autorità;N#761;N#7722
autotreno;N#590;N#8749
avamporto;N#620;N#19154
avaria;N#237;N#28589
avvertimento;N#81;N#6775
avvisatore;N#80;N#9807
avviso;N#295;N#6777
avvistare;V#621;V#32025
avvolgere;V#975;V#39153
azimut;N#926;N#13238
bacino;N#794;N#21994
bagaglio;N#682;N#9341
bagala;N#65;N#49606
baglio;N#927;N#24014
bagnasciuga;N#1995;N#5580
baleniera;N#67;N#30193
balla;N#591;N#23581
Baltimora;NP#1025;NP#45766
bandiera;N#98;N#26277
Banjul;NP#1026;NP#47733
barbariccio;N#1925;N#49607
barbetta;N#873;N#29457
barca;N#1;N#12151
Barcellona;NP#2152;NP#46890
barchetta;N#2714;N#7349
barcone;N#60;N#25799
Bari;NP#2363;NP#47310
baricentro;N#979;N#21479
barografo;N#978;N#12246
barometro;N#977;N#51424
barra;N#99;N#31308
Barranquilla;NP#1027;NP#46481
Barry;NP#1028;NP#48080
base;N#877;N#49640
bassa marea;N#745;N#49709
Bassora;NP#1029;NP#46345
Bastia;NP#1030;NP#46270
bastimento;N#2347;N#51108
Baton_Rouge;NP#1031;NP#47019
battagliola;N#980;N#21952
battello;N#367;N#28137
battente;N#1798;N#31702
Bayonne;NP#1032;NP#46535
beccaccino;N#2;N#17291
beccheggio;N#578;N#3971
Belfast;NP#1033;NP#47198
Belgrado;NP#2491;NP#48416
belvedere;N#354;N#30580
bengala;N#983;N#25698
benzina;N#2177;N#24638
Bergen;NP#1034;NP#48581
betta;N#1933;N#743
bettolina;N#382;N#12403
biga;N#1914;N#4389
bilancella;N#1922;N#15349
Bilbao;NP#2425;NP#48528
binocolo;N#984;N#15738
bireme;N#1934;N#136
biscaglina;N#1935;N#26340
bissona;N#1936;N#10233
bitta;N#580;N#19924
boccaporto;N#851;N#25324
bolina;N#102;N#4848
bolletta;N#592;N#25476
boma;N#103;N#6331
Boma;NP#1037;NP#46072
bombarda;N#1937;N#1808
bora;N#982;N#19919
Bordeaux;NP#1038;NP#46994
bordeggiare;V#664;V#39675
bordeggio;N#878;N#5149
bordo;N#2726;N#28180
Boston;NP#2164;NP#46975
Boulogne;NP#1039;NP#46293
bovo;N#1938;N#4958
bozzello;N#879;N#23542
braccio;N#882;N#29072
bragozzo;N#1939;N#29666
Brema;NP#1040;NP#46416
Brest;NP#1041;NP#47465
brezza;N#105;N#29461
Bridgetown;NP#1036;NP#47950
brigantino;N#886;N#21615
Brindisi;NP#2445;NP#46827
Bristol;NP#1035;NP#47074
bruciato;AG#2122;AG#50590
bucaniere;N#1276;N#4610
bucintoro;N#1940;N#31704
buffo;N#2583;N#722
bugliolo;N#891;N#13858
bugna;N#890;N#49641
bulbo;N#1010;N#50275
burchiello;N#1923;N#19048
buriana;N#2572;N#869
bussola;N#106;N#20642
bussola da rilevamento;N#293;N#49631
bussola di rotta;N#294;N#49632
bussola giroscopica;N#291;N#49628
bussola magnetica;N#292;N#49629
buttafuori;N#892;N#23482
buttare;V#2114;V#39500
cabina;N#1059;N#2022
cabotaggio;N#208;N#49717
cacciasommergibili;N#555;N#3112
cacciatorpediniere;N#553;N#49586
cadenza;N#2281;N#7737
Cadice;NP#1042;NP#48433
Cagliari;NP#2259;NP#49173
caicco;N#167;N#49609
cala;N#197;N#49769
Calais;NP#1043;NP#48590
calare;V#678;V#38668
calcestruzzo;N#2112;N#21503
calma;N#2083;N#3702
calumare;V#679;V#38048
cambusa;N#1055;N#13024
cambusiere;N#1056;N#1909
camera;N#648;N#16317
campana;N#1065;N#20937
campionare;V#595;V#39697
campionato;N#2097;N#27244
canapa;N#723;N#27308
canapo;N#649;N#22505
cannoniera;N#556;N#4781
canoa;N#361;N#15569
canottaggio;N#1971;N#19280
canotto;N#362;N#21845
cantiere;N#717;N#6746
capitano;N#511;N#49411
capo;N#1091;N#50539
Capo_Carbonara;NP#2586;NP#46511
Capo_Rizzuto;NP#2587;NP#47750
cappa;N#1179;N#11728
cappellano;N#807;N#23742
Capraia;NP#2260;NP#48351
Capri;NP#2364;NP#47871
carabottino;N#1333;N#51110
caravella;N#364;N#7578
carboniere;N#168;N#49610
Cardiff;NP#2463;NP#47117
cardine;N#994;N#22857
carena;N#720;N#17265
carenaggio;N#764;N#6761
carenare;V#765;V#32246
cargo;N#16;N#49611
caricare;V#446;V#32393
carico;N#2020;AG#45114
carpenteria;N#2203;N#13396
Carrara;NP#2446;NP#47881
carrello;N#1331;N#28098
carroponte;N#776;N#20323
Cartagena;NP#1044;NP#46774
carteggiare;V#780;V#41035
carteggio;N#779;N#50737
Caspio;NP#2052;NP#46816
cassa;N#596;N#24555
cassero;N#2000;N#15704
catamarano;N#1560;N#28196
Catania;NP#2367;NP#48341
catena;N#1181;N#21710
cavallino;N#1182;AG#51072
cavitazione;N#1183;N#10041
cellulosa;N#2196;N#22156
cemento;N#2108;N#5807
centinatura;N#1336;N#25265
cerata;N#1847;N#16432
certificazione;N#238;N#12204
cessione;N#597;N#18151
Cherbourg;NP#1045;NP#47145
chiatta;N#381;N#21253
chiesuola;N#640;N#22005
chiglia;N#109;N#8155
Chioggia;NP#2447;NP#47524
ciclone;N#1240;N#29425
cilindro;N#1375;N#21408
Cinque_Terre;NP#2588;NP#47827
circolo Amici-Magnaghi;N#966;N#49621
circumnavigazione;N#782;N#4792
cirro;N#1087;N#24421
cirrocumulo;N#2539;N#9158
cirrostrato;N#2540;N#14237
cisterna;N#1304;N#28766
Civitavecchia;NP#2368;NP#45714
classe;N#299;N#29761
classificazione;N#1338;N#7561
clausola;N#598;N#14567
codice;N#239;N#15778
coffa;N#460;N#25906
cogliere;V#1351;V#40052
collettame;N#2184;N#1486
collidere;V#339;V#37355
collo;N#1350;N#7060
colonna;N#641;N#50952
coltellaccio;N#665;N#23333
comandante;N#107;N#10645
comando;N#762;N#23726
commettere;V#2181;V#36677
commissione;N#241;N#17327
committente;N#599;N#9162
commodoro;N#2242;N#16817
comperare;V#940;V#37118
condizione;N#2148;N#16105
consegna;N#243;N#957
consegnare;V#684;V#37559
consegnatario;N#683;N#24521
consumatore;N#602;N#27054
contagiri;N#1355;N#8480
contenitore;N#603;N#20403
continentale;AG#2636;AG#44692
continente;N#2624;N#15127
contraliseo;N#841;N#11942
contrarre;V#1773;V#37457
contratto;N#244;N#15208
convenzione;N#2602;N#10323
Copenhagen;NP#1046;NP#46361
coperta;N#385;N#26227
coppa;N#2098;N#22960
corallina;N#1946;N#18887
corazzata;N#557;N#17300
corda;N#108;N#12148
Corinto;NP#2171;NP#47197
Cork;NP#1047;NP#46090
coronamento;N#1363;N#25171
corrente;N#111;N#487
corsaro;AG#1277;N#24342
corvetta;N#558;N#17368
costeggiare;V#662;V#40907
cotto;N#2124;AG#50588
Cristoforo_Colombo;NP#1249;NP#47349
crocetta;N#1367;N#13126
crociera;N#1862;N#29037
Crotone;NP#2369;NP#45749
cubia;N#854;N#4818
cucina;N#1370;N#28806
cucire;V#753;V#35698
cutter;N#370;N#21762
Dakar;NP#1049;NP#47778
dandy;N#371;N#5516
dare;V#2146;V#32789
darsena;N#112;N#10935
dazio;N#246;N#7590
decreto;N#2057;N#11407
dente di cane;N#1374;N#50281
depressione;N#959;N#13557
deriva;N#1574;N#30310
deserto;N#2626;AG#42366
destinazione;N#2400;N#9925
detrazione;N#2646;N#18401
diamante;N#1385;N#17059
dichiarazione;N#250;N#11160
diramazione;N#259;N#4538
direzione;N#1892;N#2695
dirigere;V#763;V#36545
diritto;N#489;N#51173
disalberare;V#1437;V#33352
disarmare;V#774;V#35740
disarmo;N#781;N#25892
disciplina;N#2711;N#15667
disincagliare;V#1439;V#38502
dogana;N#252;N#4322
Doha;NP#1050;NP#48620
doppiare;V#1448;V#39371
Dordrecht;NP#1051;NP#46775
Douglas;NP#1986;NP#47940
