Shared Lemma;IWN_WM_ID;MarT_WM_ID
abbandonare;V#33779;V#722
abbattere;V#35390;V#1871
abbeverare;V#34987;V#2691
abbisciare;V#38803;V#176
abbittare;V#37023;V#577
abboccare;V#39006;V#2692
abbonacciare;V#51357;V#1818
abbordaggio;N#16285;N#574
abbordare;V#38030;V#338
abbrivare;V#51187;V#1870
abbrivio;N#18378;N#179
abbrumare;V#39845;V#2694
abbuono;N#6212;N#731
Abenra;NP#47544;NP#948
Aberdeen;NP#46137;NP#949
abete;N#51102;N#1819
ABS;N#50226;N#1905
accessorio;N#6329;N#951
accone;N#49603;N#59
accostare;V#33819;V#332
accostata;N#5066;N#575
acido;AG#41790;N#2176
acqua;N#50495;N#75
acque;N#12663;N#119
Aden;NP#48199;NP#950
aereo;AG#43954;AG#2613
affiorare;V#36051;V#1820
affondamento;N#10461;N#2581
affondare;V#37267;V#1867
afforcare;V#37115;V#334
Africa;NP#46974;NP#2628
Agadir;NP#46238;NP#1013
agente marittimo;N#49494;N#233
al traverso;N#49636;AV#1721
ala;N#11176;N#1920
alaggio;N#31046;N#798
alare;AG#43865;V#799
albatrosso;N#49604;N#62
alberatura;N#10066;N#581
albero;N#29490;N#88
albero dell'antenna;N#49701;N#955
albero di fortuna;N#49700;N#954
albero di maestra;N#49265;N#456
albero di trasmissione;N#49698;N#844
Alborg;NP#46082;NP#1014
Algeri;NP#45623;NP#1015
Alicante;NP#48451;NP#1016
aliscafo;N#30608;N#63
aliseo;N#10302;N#840
allarme;N#14766;N#1882
allestimento;N#8506;N#957
allineamento;N#49705;N#845
alluminio;N#21688;N#2012
alta marea;N#49708;N#744
altezza;N#10856;N#1648
altocumulo;N#28519;N#2541
altostrato;N#10670;N#962
altura;N#1342;N#860
alzare;V#33884;V#1845
Amalfi;NP#46679;NP#2360
Amburgo;NP#45586;NP#1202
Americhe;NP#46204;NP#2629
Amerigo Vespucci;NP#49672;NP#550
Amerigo_Vespucci;NP#45687;NP#1254
ammainare;V#37814;V#584
ammanco;N#9457;N#589
ammattare;V#40513;V#1446
