Literal Lemma;MariTerm ID;Total Similarity;Normalized Score;Multiple Entries in ItalWN;MariTerm Gloss
nave militare;N#20;17.33;0.00;No (1);nave impiegata per scopi militari e/o di guerra.
imbarcazione;N#58;12.51;0.00;No (1);"termine generico per indicare barche di piccole e medie dimensioni  utilizzate per diversi scopi (lavoro  piacere  etc.).
"
oggetto;N#645;8.80;0.00;No (1);qualunque oggetto concreto.
inerente;AG#127;5.77;0.00;No (1);
bussola;N#106;5.51;0.00;No (1);Strumento che indica la direzione del punto cardinale Nord e permette pertanto di conoscere la direzione di uno spostamento  rispetto a tale punto cardinale.
galleggiante;N#379;5.31;0.00;No (1);qualsiasi corpo che galleggia sia fissato al fondo come boe o gavitelli  sia mobile come vari tipi d'imbarcazione.
porto;N#90;4.83;0.00;No (1);luogo di scalo di navi
attività;N#2136;4.79;0.00;No (1);atto compiuto per uno scopo
unità_di_misura;N#1177;4.51;0.00;No (1);grandezza di paragone il cui valore viene messo uguale a uno e rispetto alla quale vengono misurate le altre grandezze con essa omogenee.
lavoratore;N#482;4.13;0.00;No (1);chi lavora nel campo della navigazione e dei trasporti navali.
attività_sportiva;N#1901;3.73;0.00;No (1);gioco o esercizio praticato per diletto o per esibizione
prodotto;N#644;3.68;0.00;No (1);tutto ciò che gli uomini producono.
cardine;N#994;3.37;0.00;No (1);punto cardinale
strumento nautico;N#2172;3.37;0.00;No (1);utile per calcolare la posizione della nave e per tecniche e/o operazioni di navigazione.
fenomeno_atmosferico;N#1009;3.09;0.00;No (1);fenomeno fisico che concerne l'atmosfera.
roba;N#264;2.46;0.00;No (1);qualunque bene mobile  economicamente utile  destinato alla vendita.
duello;N#2096;2.37;0.00;No (1);atto  sforzo di due o più concorrenti per vincersi  superarsi a vicenda.
bagaglio;N#682;2.24;0.00;No (1);insieme degli oggetti che un viaggiatore reca con sè
persona;N#2132;2.18;0.00;No (1);
pesce;N#2032;2.18;0.00;No (1);animale vertebrato acquatico
altezza;N#1648;2.01;0.00;No (1);misura riferita alle stelle oppure a parti dell'imbarcazione. Ha anche altri significati differenti a seconda del contesto.
nulla_osta;N#516;1.91;0.00;No (1);il documento che attesta il permesso accordato
circumnavigazione;N#782;1.91;0.00;No (1);viaggio marittimo intorno al globo terrestre. O anche intorno ad un'isola o ad un continente.
fardello;N#2019;1.91;0.00;No (1);carico  involto  pacco voluminoso e pesante da portare.
ufficio;N#517;1.85;0.00;No (1);insieme degli impiegati che in un determinato luogo svolgono una attività
insieme;N#635;1.83;0.00;No (1);la totalità  persone o animali o cose radunate insieme
insenatura;N#1616;1.75;0.00;No (1);rientranza di varia profondità lungo la sponda di un corso d'acqua  di un lago o del mare. 
rivestitura;N#1180;1.70;0.00;No (1);la cosa che si usa per ricoprire alcuni oggetti  in genere con funzione di protezione
remo;N#705;1.62;0.00;No (1);asta  specialmente di legno sagomato resistente e leggero  dotata di un estremo in forma di pala che viene immerso nell'acqua affinché il rematore  facendo leva sull'estremo opposto  possa dare spinta propulsiva al natante.
rimorchiatore;N#1781;1.54;0.00;No (1);nave addetta al rimorchio di altri natanti anche di dimensioni molto maggiori.
evento;N#2133;1.52;0.00;No (1);
fondo;N#188;1.45;0.00;No (1);la parte bassa
scalo;N#655;1.36;0.00;No (1);luogo in cui arrivano o da cui partono mezzi e passeggeri di aerei  navi  treni
viaggio;N#2683;1.28;0.00;No (1);trasferimento da un luogo ad un altro
sottufficiale;N#2139;1.26;0.00;No (1);militare di grado intermedio tra gli ufficiali e la truppa
dichiarazione;N#250;1.25;0.00;No (1);documento con il quale si dichiara
fenomeno_naturale;N#2505;1.17;0.00;No (1);
azimut;N#926;1.15;0.00;No (1);nella navigazione astronomica indica l'arco di cerchio compreso tra il Nord e la verticale dell'astro stesso.
campionato;N#2097;1.15;0.00;No (1);
dazio;N#246;1.15;0.00;No (1);
eliminatoria;N#2099;1.15;0.00;No (1);
ora;N#2279;1.15;0.00;No (1);tempo misurabile dall'orologio
semifinale;N#2102;1.15;0.00;No (1);
alberatura;N#581;1.15;0.00;No (1);insieme degli alberi pennoni e cordame di una imbarcazione a vela.
balla;N#591;1.15;0.00;No (1);grosso involto di merce
import;N#2182;1.15;0.00;No (1);l'insieme delle merci importate
informativa;N#2645;1.15;0.00;No (1);insieme di informazioni
poppavia;N#1583;1.15;0.00;No (1);direzione relativa verso la parte di poppa.
porto commerciale;N#91;1.15;0.00;No (1);porto dedicato al traffico commerciale e mercantile.
porto di rifornimento;N#92;1.15;0.00;No (1);punto di sosta intermedio per navi.
porto di velocità;N#93;1.15;0.00;No (1);porto destinato al movimento dei passeggeri.
porto industriale;N#94;1.15;0.00;No (1);porto al servizio di grandi complessi industriali.
porto petrolifero;N#95;1.15;0.00;No (1);porto attrezzato per la ricezione di prodotti finiti da nave cisterna.
sartiame;N#1711;1.15;0.00;No (1);"l'insieme di tutte le manovre dormienti che sostengono gli alberi: sartie  stralli  paterazzi  stralletti  etc. 
"
segnale;N#220;1.15;0.00;No (1);qualsiasi oggetto o figura che serva a contrassegnare o a indicare qualcosa
stazza;N#271;1.15;0.00;No (1);volume interno della nave indicativo della sua capacità di carico.
velame;N#135;1.15;0.00;No (1);l'insieme delle vele di una imbarcazione  complesso delle vele di un'imbarcazione
aereo;AG#2613;1.15;0.00;No (1);che concerne l'areonautica.
